id_pesme,id_izvodjaca,zanr_pesme,id_slusaoca,trajanje_pesme,ocena_pesme,godina_izdavanja,jezik
6,107,6,34,1,1,2014,7
194,291,4,2056,5,7,2001,1
291,143,8,1641,2,1,2005,5
44,63,5,600,2,8,2020,2
220,218,4,1889,3,3,2023,7
434,277,9,2320,4,5,2015,4
375,96,7,2649,3,4,2008,2
56,51,1,1409,1,1,2000,2
497,181,6,1264,6,3,2008,1
173,105,1,1712,1,3,2013,6
260,191,8,1967,5,1,2001,4
243,229,3,1744,2,4,2020,5
335,120,3,156,3,2,2008,6
452,86,7,650,5,9,2017,3
120,124,7,2653,2,3,2000,7
263,122,10,1145,6,5,2000,7
406,81,4,2232,3,7,2018,4
317,150,8,516,4,5,2011,6
243,60,3,951,6,1,2006,6
228,106,10,1047,6,6,2021,6
71,23,2,334,6,5,2010,1
212,142,3,2724,1,3,2016,6
281,21,1,2935,6,5,2020,6
376,99,3,1547,3,3,2012,4
369,39,2,2862,6,5,2017,6
17,139,10,1067,4,10,2008,3
16,271,10,467,2,2,2007,3
356,186,8,1850,1,1,2002,6
436,212,3,415,3,4,2003,7
88,150,8,973,2,10,2016,6
47,51,8,2729,2,5,2000,5
469,267,3,2698,6,1,2018,5
357,65,9,2020,5,2,2002,7
340,17,9,532,5,7,2016,6
116,46,9,722,2,2,2001,6
308,227,5,342,1,3,2020,3
25,166,5,386,2,7,2022,5
336,263,8,971,6,9,2007,1
422,130,2,1550,6,2,2006,6
155,45,4,1703,5,7,2008,6
180,223,6,593,4,9,2008,7
228,267,4,610,6,9,2009,3
372,205,8,236,1,8,2008,4
37,256,5,889,5,5,2009,3
296,290,7,2780,5,3,2016,2
288,224,9,2035,3,5,2010,1
112,283,3,2936,1,5,2008,6
342,296,8,513,5,4,2018,5
199,59,2,311,1,4,2005,1
263,118,7,434,4,1,2023,2
412,106,4,2024,3,4,2021,1
269,10,5,1259,5,6,2002,3
404,3,3,1150,2,6,2012,6
201,130,6,1946,5,10,2014,3
439,175,2,1163,5,2,2017,7
2,93,7,1020,6,10,2009,2
354,111,7,2800,3,2,2021,5
181,242,3,1361,4,8,2019,1
80,31,9,1933,1,9,2021,2
12,56,8,825,6,4,2021,5
100,187,5,2080,3,2,2006,3
152,121,6,2814,2,10,2005,2
385,103,2,2499,3,9,2021,2
399,117,3,323,5,8,2022,5
484,135,6,553,6,2,2014,4
135,276,4,1439,6,2,2017,1
448,115,7,1734,5,4,2019,4
5,163,4,2123,1,2,2021,1
55,36,9,344,2,2,2014,3
375,69,3,1861,2,10,2016,3
369,244,1,2940,2,10,2017,5
331,289,6,1228,6,1,2003,3
487,82,2,2750,6,2,2011,2
19,115,3,1089,5,9,2013,6
360,124,6,1138,4,10,2000,7
490,51,6,2662,6,7,2021,2
227,161,4,760,6,1,2012,7
250,265,4,388,3,7,2006,2
286,215,2,733,2,7,2010,7
478,13,2,2164,1,9,2015,2
65,65,3,2064,1,6,2006,4
381,28,3,1217,5,8,2018,7
370,69,2,1454,4,3,2012,2
91,49,5,2330,2,1,2006,1
416,97,3,2412,1,3,2018,6
383,251,5,1149,1,9,2009,7
289,236,7,2240,5,10,2023,5
319,56,4,2326,1,5,2021,5
81,94,4,1327,1,10,2020,2
275,296,5,1291,4,8,2001,1
486,139,8,1428,5,6,2001,4
35,253,2,2317,3,2,2015,4
469,37,3,2893,3,8,2012,3
80,193,6,217,3,1,2000,4
177,106,7,1350,5,6,2012,4
10,277,6,2509,3,9,2003,1
131,171,2,1727,4,3,2019,4
462,183,8,1325,1,8,2002,4
247,31,7,181,2,7,2013,7
85,200,6,1819,4,2,2005,6
268,262,3,815,3,5,2006,2
266,27,5,1082,4,9,2011,1
312,216,3,2279,4,2,2018,6
285,179,4,875,6,10,2009,1
71,88,3,615,1,5,2012,3
213,78,3,1726,3,2,2000,4
78,224,5,1898,4,5,2006,2
140,180,10,419,3,9,2023,7
144,249,1,945,6,7,2001,1
329,235,2,2949,5,3,2008,5
385,253,3,1800,2,2,2007,4
152,211,10,1413,1,3,2013,7
164,23,6,871,1,6,2004,2
457,171,2,2749,2,3,2020,5
192,92,5,2876,6,1,2013,7
59,108,2,2854,1,2,2021,7
75,62,10,1190,1,2,2000,1
188,18,5,932,2,5,2002,4
391,222,4,604,2,2,2005,5
471,296,5,1621,5,1,2011,5
500,233,7,1654,6,7,2013,3
450,21,7,2970,6,8,2021,2
177,241,5,1363,5,10,2023,6
357,64,2,418,2,1,2008,4
49,176,4,1186,4,3,2016,2
198,292,4,2758,1,4,2020,1
202,10,5,971,5,5,2010,1
493,175,6,2649,6,1,2022,4
123,45,5,707,1,10,2008,2
42,204,7,1373,5,7,2004,2
440,195,4,1080,3,6,2000,4
467,199,2,1280,6,10,2009,3
203,25,3,738,6,7,2002,2
478,212,8,419,2,9,2013,4
219,50,7,194,1,3,2020,5
400,91,1,206,3,10,2023,2
491,107,8,1493,6,2,2010,7
312,42,8,1840,3,6,2011,2
494,90,9,2054,2,5,2014,1
247,157,6,384,6,1,2005,4
18,168,2,1516,6,1,2018,3
274,71,3,2007,5,8,2015,1
420,96,3,36,1,3,2013,4
235,68,6,742,1,7,2002,1
195,251,7,1072,5,1,2017,5
370,286,6,2074,1,5,2017,7
189,186,3,1973,3,5,2014,7
71,123,6,1668,2,9,2002,7
299,240,6,2338,1,8,2002,6
291,42,7,1164,4,7,2007,3
50,25,2,1644,2,10,2006,1
148,238,3,2580,5,6,2002,2
38,51,1,1239,1,3,2017,4
23,140,2,2989,5,5,2022,2
485,52,2,2492,5,1,2019,2
189,247,9,72,2,9,2018,6
39,103,5,2788,4,4,2003,7
129,272,2,2031,4,2,2007,3
25,117,5,2986,6,3,2022,7
74,41,2,1276,1,7,2010,5
432,237,5,994,4,4,2001,7
53,260,8,2128,2,5,2016,2
171,278,3,1347,3,6,2022,5
496,103,1,321,4,9,2009,6
288,189,10,2821,6,8,2019,6
396,207,3,992,5,5,2012,3
196,53,10,2351,3,1,2005,2
217,38,6,1047,4,10,2001,4
137,163,5,416,4,3,2010,6
381,61,4,1828,2,7,2008,1
270,228,8,2668,4,3,2001,5
410,152,7,2467,1,1,2002,7
360,148,10,2659,3,4,2003,7
395,169,5,1747,3,4,2004,3
180,173,8,96,4,3,2009,7
430,70,6,915,4,9,2017,1
402,227,7,781,6,7,2023,6
435,135,5,1467,4,2,2020,4
32,21,9,1206,2,10,2010,2
451,230,5,1555,2,6,2016,7
373,114,2,2272,5,9,2023,4
496,44,3,2979,3,2,2018,6
178,56,2,1308,3,10,2010,2
488,163,7,337,2,8,2010,6
28,105,1,2440,5,8,2006,6
91,162,2,2660,4,1,2014,5
69,1,5,1459,4,6,2020,1
200,94,8,1415,5,5,2012,1
286,42,8,254,4,9,2006,6
214,36,10,625,5,4,2000,6
90,248,2,885,5,8,2014,2
109,221,10,607,5,2,2012,5
292,281,1,2410,5,5,2014,5
160,141,1,2202,6,1,2018,6
29,130,10,2132,3,5,2004,3
428,273,8,2780,4,4,2011,2
475,296,7,957,2,8,2003,2
343,85,7,618,1,2,2011,2
207,262,9,651,4,9,2009,3
371,137,5,2481,4,9,2017,6
439,16,8,314,5,7,2017,2
236,81,5,2987,5,4,2017,5
314,251,9,1276,2,10,2007,3
260,225,2,870,5,2,2008,5
218,186,10,430,3,3,2000,7
68,1,5,633,1,5,2010,6
500,211,8,618,4,8,2009,5
152,273,9,1588,4,7,2006,1
431,129,6,289,2,2,2002,1
464,51,10,1450,1,4,2003,1
284,45,7,698,1,1,2016,2
92,190,2,563,1,10,2022,1
58,229,10,935,3,7,2005,1
213,165,6,2251,6,8,2009,5
21,138,5,480,2,2,2008,6
234,222,10,2149,4,5,2011,5
481,122,6,2292,6,1,2002,2
220,208,10,582,3,5,2023,3
168,69,4,1905,3,6,2016,6
70,2,7,1779,1,4,2003,5
106,232,3,1235,3,7,2001,4
442,123,5,607,3,3,2000,7
297,215,2,1826,6,8,2005,5
199,292,2,2540,4,2,2018,5
187,148,6,744,4,1,2019,4
470,54,6,1923,1,7,2020,2
28,202,10,2265,1,3,2011,3
444,54,3,521,5,6,2019,6
208,229,6,235,1,10,2023,5
232,296,4,855,1,5,2000,4
438,202,6,489,4,2,2011,4
241,37,4,749,1,4,2005,5
400,6,7,274,3,10,2011,2
329,18,1,268,6,5,2012,2
39,73,5,2527,4,10,2009,5
158,117,4,2856,1,7,2002,7
458,37,1,1980,2,6,2008,1
113,108,4,1820,5,8,2008,3
171,55,8,1051,4,10,2004,3
163,300,1,2094,6,2,2004,3
61,100,4,200,2,7,2004,3
20,245,8,39,6,5,2016,5
34,110,4,923,6,4,2005,5
384,214,8,1504,4,7,2006,7
97,177,2,2733,6,10,2019,6
102,205,6,420,1,1,2016,4
122,41,1,917,1,3,2022,6
270,199,4,2286,3,9,2003,4
17,5,9,1803,3,1,2021,6
430,229,5,1870,4,8,2011,5
180,267,6,538,1,6,2010,6
237,212,3,1039,5,10,2021,6
296,129,5,2833,6,5,2022,1
398,116,3,1748,1,10,2017,6
246,237,7,2026,4,10,2021,1
21,218,6,561,6,3,2020,1
416,22,4,451,3,8,2007,1
8,136,1,2367,4,6,2019,6
1,157,8,1483,3,2,2020,6
220,299,9,2383,5,7,2013,7
23,75,3,1056,4,5,2006,5
184,297,5,1674,2,1,2021,3
72,109,3,2676,5,1,2004,3
83,238,4,728,4,4,2022,4
411,37,4,1132,3,4,2003,6
147,87,9,2801,6,8,2019,3
446,76,2,2436,3,7,2012,2
179,265,5,2968,1,2,2000,3
172,125,9,2262,4,3,2009,6
150,250,6,2808,5,2,2018,7
414,10,4,1123,6,10,2015,5
58,200,3,1626,6,7,2010,5
182,122,4,1060,2,10,2005,1
199,49,4,1460,3,1,2015,3
40,293,4,2382,2,10,2001,2
410,10,10,1214,6,8,2011,5
148,66,10,1240,3,3,2019,6
84,195,3,908,3,10,2018,1
230,96,9,2859,2,1,2010,5
411,59,8,2285,5,6,2012,1
173,289,4,1666,5,6,2011,1
446,200,1,2309,5,9,2001,1
38,190,3,2687,2,1,2000,3
126,55,8,41,1,3,2009,2
150,188,10,1808,3,6,2008,7
229,92,6,21,2,8,2000,2
433,103,7,332,1,8,2015,1
12,72,3,1990,1,10,2010,6
492,39,5,385,4,7,2018,6
57,3,2,2318,1,6,2014,4
111,284,4,722,4,9,2018,7
255,149,3,880,5,6,2014,3
84,77,7,2990,5,7,2001,3
480,33,4,860,6,8,2000,1
32,45,6,2227,5,7,2017,1
316,203,3,2101,3,10,2009,7
15,273,5,2721,1,8,2005,4
339,183,9,1269,5,3,2001,5
327,239,8,789,6,3,2002,5
266,289,3,2621,4,8,2017,3
197,271,9,1045,1,4,2004,5
167,240,5,1001,3,8,2012,5
210,113,10,658,6,4,2007,2
435,6,4,513,2,3,2012,5
161,182,10,2850,2,6,2021,3
44,158,7,534,1,8,2016,3
75,272,6,479,6,8,2011,1
233,148,10,2775,6,7,2019,1
235,260,8,2675,1,10,2020,5
148,91,2,2302,5,10,2019,2
431,50,1,1657,6,9,2018,6
461,1,9,1372,1,7,2019,7
71,165,2,1611,4,1,2017,4
188,76,10,1164,6,4,2023,3
80,292,7,1784,1,8,2012,4
216,267,3,1202,5,7,2011,5
165,19,4,511,6,4,2019,1
106,148,7,1453,2,3,2001,4
245,65,3,1307,6,7,2006,7
394,93,3,682,2,3,2009,1
238,286,1,2154,3,8,2005,1
405,256,3,962,2,4,2013,2
334,137,8,2271,4,6,2010,2
99,3,9,2460,4,1,2008,3
107,124,10,183,2,8,2011,7
305,48,4,1414,2,7,2012,4
54,42,8,1252,3,6,2003,5
172,15,8,2066,5,9,2017,5
320,161,10,1038,4,10,2010,4
219,186,9,2794,4,9,2019,5
152,300,10,70,5,6,2017,5
376,275,1,2474,4,7,2005,2
58,124,4,1931,2,2,2001,7
348,130,9,719,4,2,2020,2
67,249,4,2353,1,3,2010,4
225,224,3,1,5,8,2001,1
57,38,3,1434,3,7,2007,1
461,154,5,495,2,7,2013,4
51,24,6,2864,1,5,2000,2
131,111,10,298,2,10,2006,6
407,109,4,529,6,9,2005,4
466,160,3,541,2,1,2023,6
325,292,4,849,3,7,2011,2
242,222,2,497,1,2,2004,1
104,33,1,2414,5,10,2007,4
59,156,4,288,6,9,2013,2
411,36,4,1811,2,8,2012,7
101,165,4,404,1,2,2019,4
239,80,3,1052,1,7,2014,1
365,193,9,2038,3,6,2011,1
46,67,10,142,4,6,2003,7
303,60,3,2307,1,5,2009,2
235,109,4,1496,1,3,2023,5
428,20,10,1394,4,6,2014,6
5,76,2,2426,4,3,2001,7
434,95,10,443,3,8,2011,4
123,54,3,2170,1,9,2011,1
184,300,1,1426,6,5,2011,3
174,60,5,236,6,7,2018,3
179,43,8,194,5,10,2000,5
352,185,1,2667,6,4,2012,7
289,227,2,1786,4,9,2006,2
351,106,7,1637,6,3,2006,5
340,257,8,1238,2,7,2017,6
310,247,4,1632,5,1,2010,4
113,103,9,2042,1,4,2013,6
351,275,5,1952,4,8,2011,7
304,80,1,1103,2,2,2004,6
438,119,4,1849,2,6,2008,6
232,65,5,2588,3,1,2004,7
344,146,8,769,6,9,2018,1
478,281,7,1559,5,7,2000,5
470,205,1,1382,2,8,2006,2
67,84,1,1388,4,7,2011,3
418,135,1,2108,1,3,2022,5
374,279,1,179,4,4,2008,5
45,79,1,623,2,1,2010,2
130,66,9,504,3,8,2014,7
251,230,4,397,2,7,2016,7
7,260,10,2409,2,5,2000,2
235,280,9,470,4,10,2006,2
405,288,10,207,6,6,2021,1
401,56,9,2815,2,2,2005,4
292,197,1,878,5,3,2017,5
264,243,1,2923,6,10,2013,7
429,118,7,1774,2,2,2003,4
305,242,10,2848,1,3,2017,3
339,68,1,38,3,2,2007,7
77,86,7,2217,2,5,2018,5
338,168,10,1083,3,5,2011,5
3,144,9,1944,6,9,2014,5
102,186,2,2552,4,6,2006,6
464,108,4,1746,1,10,2014,7
450,12,1,1853,1,2,2021,3
134,41,10,2359,4,1,2005,4
483,102,8,798,3,5,2014,2
263,237,3,1560,3,1,2007,3
148,89,2,568,4,3,2005,5
110,128,9,1745,1,4,2009,6
28,42,1,2131,6,6,2018,2
408,246,6,85,5,1,2023,5
234,157,6,1807,3,10,2005,5
361,4,5,455,3,5,2010,7
345,140,6,2334,1,3,2004,1
202,185,3,2990,1,6,2012,4
125,121,10,1645,3,2,2023,7
475,291,3,1125,2,4,2006,3
199,225,4,2743,2,3,2017,6
3,70,1,2675,4,10,2001,7
366,271,6,984,3,9,2012,6
367,74,2,1120,5,7,2020,1
428,81,10,2147,4,5,2006,6
60,1,10,157,6,4,2019,5
465,29,1,236,6,2,2021,4
124,6,4,417,1,2,2010,2
373,269,10,1096,5,2,2010,2
181,292,7,464,2,5,2017,4
115,291,3,875,1,3,2022,7
149,71,2,2018,5,8,2019,1
319,55,3,2913,4,3,2010,2
222,137,9,1035,4,7,2008,6
43,147,2,270,6,8,2018,6
442,192,5,2850,2,3,2000,7
213,145,7,995,5,10,2013,4
167,106,6,508,3,7,2008,6
142,262,9,393,5,2,2013,6
214,155,7,2955,4,8,2010,5
322,202,1,637,2,4,2010,7
139,239,1,1853,6,6,2001,3
78,238,5,2606,2,3,2019,3
175,46,6,644,2,4,2004,6
237,91,5,1111,2,6,2001,3
159,165,6,1373,3,7,2015,7
75,48,9,366,4,7,2015,6
145,91,7,1878,5,4,2002,3
376,99,9,2519,2,10,2002,4
488,149,10,728,1,8,2014,1
490,179,3,2349,3,4,2009,4
279,188,10,546,4,8,2018,6
80,118,10,1596,2,5,2000,4
29,74,1,1980,4,8,2006,4
387,127,9,223,2,3,2017,7
298,218,2,961,5,10,2007,4
456,231,7,690,3,8,2023,6
159,255,1,2835,4,10,2003,3
411,186,7,2045,6,2,2005,6
81,152,4,1208,6,4,2012,1
306,144,7,2221,2,5,2011,2
40,11,3,1292,5,6,2010,7
289,229,3,1546,5,6,2020,4
444,300,1,1420,5,1,2021,2
104,133,7,284,3,7,2008,3
365,278,6,933,5,2,2000,4
470,26,9,1315,4,9,2003,2
115,147,10,931,1,7,2015,4
471,43,4,2391,3,1,2005,4
44,275,6,2660,6,7,2017,2
291,20,10,522,5,5,2007,2
440,51,1,1113,3,9,2010,4
313,206,7,168,3,5,2008,6
125,13,3,128,6,10,2001,2
285,60,9,1363,1,1,2004,2
365,69,2,356,6,4,2006,7
261,257,1,802,6,1,2022,7
377,39,5,1863,5,8,2019,6
459,19,10,618,5,9,2019,1
454,52,1,953,5,9,2013,3
399,86,9,1990,1,4,2009,4
438,138,10,541,6,8,2018,3
258,159,5,1939,3,8,2012,7
389,43,4,2033,4,1,2003,7
171,108,4,1235,3,10,2013,1
353,234,6,472,5,4,2018,2
265,260,1,1701,6,4,2022,5
221,140,8,2534,3,7,2021,6
66,206,5,1642,6,5,2010,1
82,285,3,2160,2,7,2023,5
147,4,10,1782,2,9,2013,2
224,23,6,1147,3,2,2012,7
195,242,4,999,3,10,2018,5
364,72,7,2876,6,9,2013,1
206,255,3,129,3,3,2011,3
206,109,3,2049,1,6,2002,1
180,221,8,13,4,9,2015,3
372,89,4,603,3,1,2001,1
275,98,5,2883,3,4,2021,1
464,211,7,2216,3,7,2007,3
130,238,8,2543,4,2,2008,6
394,242,5,681,4,8,2019,4
300,70,5,556,2,5,2016,1
99,135,1,1236,3,6,2013,3
80,122,4,604,1,7,2019,5
98,221,9,476,3,4,2002,3
330,193,5,6,2,7,2022,3
416,54,9,1814,3,8,2014,4
242,266,10,730,1,9,2012,2
365,63,4,641,6,2,2003,1
68,31,1,2263,6,5,2015,7
474,34,5,2719,1,5,2001,2
154,242,3,2331,5,5,2000,5
451,80,9,1032,3,5,2016,1
328,261,1,320,4,4,2012,3
220,27,8,1551,5,3,2002,6
201,47,3,1986,2,4,2017,2
323,78,1,196,6,9,2008,3
216,92,8,2575,5,7,2000,4
327,266,9,2644,5,2,2011,7
84,185,7,1185,1,1,2016,6
120,297,4,437,5,10,2012,7
282,231,7,2872,1,7,2012,7
299,19,10,330,1,3,2003,3
161,236,7,947,2,7,2016,3
222,250,10,1727,1,9,2002,4
330,105,9,546,6,7,2011,7
81,245,5,23,1,6,2008,2
439,191,10,1830,2,6,2011,6
71,149,5,1338,6,8,2019,1
10,62,3,788,4,3,2014,5
381,281,8,2827,6,7,2014,1
108,41,9,789,1,3,2013,3
69,239,5,1543,4,7,2023,3
500,142,10,890,5,4,2021,2
64,205,5,1041,2,4,2015,2
385,117,9,1921,4,9,2001,4
444,205,10,2732,6,5,2020,4
320,249,4,1148,2,1,2023,3
446,1,8,314,4,2,2002,2
1,4,1,2443,4,8,2013,6
497,232,7,1582,5,1,2014,5
494,155,9,78,5,5,2011,3
111,260,8,173,2,7,2008,1
70,239,9,1367,6,3,2022,6
295,54,2,2728,6,7,2014,4
500,166,1,107,3,7,2002,7
479,80,1,170,2,8,2019,5
382,62,2,1484,2,7,2008,2
285,62,4,933,2,10,2019,5
59,29,7,1928,3,1,2009,3
264,87,2,1815,1,8,2003,7
99,136,8,1206,4,3,2007,6
151,247,9,513,3,7,2016,5
266,61,8,2908,2,5,2014,7
16,216,10,1209,5,7,2018,6
312,127,4,2295,3,5,2011,6
44,220,1,2653,6,6,2018,6
78,74,9,2424,6,6,2009,7
467,159,4,261,5,5,2021,2
235,266,2,299,5,2,2016,6
456,192,6,1571,3,2,2008,3
286,151,8,1386,3,2,2012,1
61,165,3,2544,4,9,2017,4
383,248,9,2300,1,9,2003,6
241,37,3,2679,1,5,2009,1
300,68,10,1112,4,5,2020,3
351,60,6,445,1,1,2000,2
123,103,9,174,1,5,2002,7
376,76,5,1446,2,8,2002,6
190,20,3,2,6,1,2016,3
31,151,6,2519,1,10,2014,6
444,261,4,68,5,2,2004,2
25,50,5,2130,1,2,2014,1
2,275,3,1114,1,8,2015,1
187,82,8,2013,2,6,2008,4
354,220,7,2027,6,10,2016,3
275,57,5,587,3,6,2020,3
29,292,4,775,2,7,2001,3
422,65,10,1063,6,8,2009,2
305,200,3,2822,4,2,2006,2
251,12,8,2709,5,6,2012,6
428,208,4,1881,5,7,2002,6
402,233,8,1379,2,9,2000,5
130,22,10,2769,2,6,2012,2
127,49,6,2189,6,4,2000,2
10,133,1,723,4,2,2007,4
497,51,3,1333,2,6,2014,6
334,53,5,1526,6,6,2016,5
479,92,3,555,4,6,2010,2
12,273,1,658,1,6,2007,4
482,50,4,284,3,2,2008,6
85,2,6,865,5,6,2007,1
444,137,10,2018,2,6,2015,6
273,94,6,990,1,7,2019,4
292,196,10,465,2,10,2023,5
101,300,2,410,2,10,2007,1
53,269,3,1482,4,5,2011,6
228,10,5,1828,2,5,2022,3
70,163,5,2590,6,2,2017,3
300,292,10,589,2,9,2021,2
401,207,10,355,1,3,2012,2
497,296,10,1669,1,2,2018,6
288,75,3,2980,6,6,2017,4
317,124,7,1488,6,5,2003,4
369,193,9,2095,6,10,2011,2
460,53,6,1500,1,9,2021,2
310,24,1,1292,1,8,2005,6
450,40,1,1847,5,2,2002,7
339,251,3,1801,4,5,2018,1
358,125,6,696,1,8,2002,2
364,230,7,1252,6,10,2016,5
64,101,5,605,1,2,2001,4
360,292,8,2167,1,8,2003,2
469,87,7,931,3,3,2021,3
221,122,9,2217,4,3,2014,5
196,76,8,854,1,1,2001,5
191,67,9,1711,2,7,2001,7
239,37,9,1691,1,7,2008,1
337,234,1,569,5,2,2009,7
78,48,7,2986,1,10,2010,7
443,14,4,2764,4,10,2007,7
182,249,8,127,5,7,2018,6
217,246,9,1890,5,6,2010,5
394,142,10,30,1,4,2005,3
364,96,9,1013,3,7,2021,4
368,89,8,1342,4,5,2017,1
400,16,5,2745,6,1,2007,7
409,298,2,2922,3,10,2008,1
92,69,1,2290,4,2,2014,1
481,27,3,1976,5,7,2015,6
492,139,7,1450,6,6,2000,6
50,54,4,1868,6,7,2019,1
442,140,4,2655,3,3,2009,3
289,145,4,1607,4,8,2012,1
205,156,2,645,1,6,2009,3
445,78,2,144,3,1,2018,4
420,14,10,2974,5,4,2003,7
220,101,6,1629,1,1,2002,4
137,292,9,720,4,8,2005,7
16,236,9,2386,4,3,2009,5
258,33,3,2915,2,5,2002,4
366,240,10,9,6,10,2019,7
260,163,5,592,5,10,2020,7
260,34,9,2798,6,5,2008,1
111,84,2,1857,4,6,2004,1
102,67,5,189,6,4,2014,2
173,154,10,1327,5,4,2005,1
17,278,7,2373,4,7,2003,1
439,297,9,2906,3,4,2001,1
242,234,8,1874,5,1,2018,4
305,273,4,1837,1,9,2015,5
1,88,5,2588,6,7,2007,1
120,293,1,429,3,9,2012,5
2,165,3,11,3,10,2016,4
36,205,10,269,3,2,2007,6
417,146,9,1573,2,8,2009,6
8,260,10,1676,5,6,2018,5
314,94,3,1532,5,6,2007,2
37,138,8,1812,6,1,2004,7
262,24,1,1572,4,4,2006,6
386,276,1,387,3,8,2016,6
132,136,9,1198,4,7,2012,2
264,249,5,1847,5,4,2006,1
8,89,10,1711,2,3,2009,2
161,222,8,2177,4,1,2022,4
106,201,7,2979,5,3,2006,6
488,205,8,1074,3,7,2015,5
296,109,2,2641,2,6,2002,4
329,296,8,1723,4,2,2010,4
67,251,6,2963,2,5,2023,3
70,164,3,1178,5,4,2016,4
171,300,6,2464,4,9,2004,7
267,241,6,1465,6,5,2021,4
407,90,7,2191,3,1,2008,2
97,56,9,186,2,4,2008,3
283,274,10,2297,5,9,2017,5
101,59,9,2108,2,9,2008,1
392,58,4,2993,2,5,2020,3
419,268,4,2271,5,10,2012,6
208,222,5,2506,1,10,2016,3
346,54,3,2766,3,10,2011,3
225,192,2,2044,6,2,2002,2
33,282,3,2905,6,5,2018,4
360,79,4,1536,5,4,2018,6
470,292,9,1963,6,4,2010,4
220,246,4,68,1,10,2004,2
273,191,2,2530,5,1,2013,4
85,286,3,1326,1,5,2022,3
208,243,9,270,6,10,2018,5
422,272,6,1510,2,4,2001,5
127,20,6,1079,2,1,2011,1
270,267,5,266,3,8,2000,2
126,88,4,1533,3,3,2010,7
97,245,6,460,2,8,2014,6
229,8,5,1828,5,1,2013,2
296,288,2,1148,2,3,2002,6
361,18,5,320,6,9,2012,2
53,103,5,2591,4,6,2005,5
294,183,8,1660,2,4,2006,5
22,54,10,2254,1,6,2013,1
449,267,8,2381,6,4,2001,3
201,298,9,2064,2,1,2016,2
456,28,8,92,5,10,2003,3
459,134,6,576,2,3,2017,6
486,32,5,312,5,1,2021,7
69,287,7,1877,5,9,2015,6
243,12,3,1417,5,7,2003,4
399,6,6,747,3,1,2012,3
87,12,2,592,1,3,2013,1
309,129,8,1155,4,3,2000,5
314,156,7,1349,3,6,2000,5
353,288,7,1054,2,2,2020,4
194,116,10,2625,4,5,2003,6
179,8,7,716,5,2,2012,1
150,204,3,1546,1,4,2020,2
371,173,1,2665,5,4,2015,1
205,181,9,565,4,3,2022,1
469,291,1,2295,6,8,2010,3
403,12,8,2381,1,1,2022,3
279,32,10,2142,5,4,2009,7
202,109,8,1277,4,8,2018,2
107,255,1,744,4,5,2013,1
273,242,2,758,4,10,2017,2
475,268,4,849,4,1,2006,5
366,92,5,1777,5,1,2021,3
285,46,3,2099,6,10,2019,7
292,258,7,392,1,2,2004,6
366,115,5,1288,4,7,2019,2
448,124,1,966,5,9,2017,1
326,57,3,2889,2,5,2021,1
197,157,4,1800,6,9,2013,6
2,4,2,1548,4,2,2006,1
199,277,2,1654,2,5,2001,5
